onset	duration	trial_type	value	sample
40.239	0.0	126	2	40239
57.139	0.0	238	5	57139
58.169	0.0	222	4	58169
62.303	0.0	190	3	62303
66.438	0.0	190	3	66438
70.573	0.0	190	3	70573
74.708	0.0	190	3	74708
78.871	0.0	190	3	78871
83.006	0.0	190	3	83006
87.141	0.0	190	3	87141
91.277	0.0	190	3	91277
95.411	0.0	190	3	95411
99.546	0.0	190	3	99546
103.681	0.0	190	3	103681
107.816	0.0	190	3	107816
111.95	0.0	190	3	111950
116.086	0.0	222	4	116086
120.221	0.0	190	3	120221
124.357	0.0	190	3	124357
128.491	0.0	190	3	128491
132.626	0.0	222	4	132626
136.761	0.0	190	3	136761
140.897	0.0	190	3	140897
145.031	0.0	190	3	145031
149.166	0.0	190	3	149166
153.301	0.0	222	4	153301
157.436	0.0	190	3	157436
161.571	0.0	190	3	161571
165.706	0.0	190	3	165706
169.841	0.0	222	4	169841
173.975	0.0	222	4	173975
302.761	0.0	126	2	302761
321.514	0.0	238	5	321514
322.543	0.0	190	3	322543
326.678	0.0	190	3	326678
330.814	0.0	222	4	330814
334.948	0.0	222	4	334948
339.083	0.0	190	3	339083
343.218	0.0	190	3	343218
347.353	0.0	190	3	347353
351.487	0.0	190	3	351487
355.623	0.0	190	3	355623
359.758	0.0	222	4	359758
363.893	0.0	190	3	363893
368.028	0.0	190	3	368028
372.163	0.0	190	3	372163
376.299	0.0	190	3	376299
380.433	0.0	190	3	380433
384.568	0.0	190	3	384568
388.703	0.0	190	3	388703
392.838	0.0	190	3	392838
396.973	0.0	190	3	396973
401.108	0.0	190	3	401108
405.243	0.0	190	3	405243
409.378	0.0	190	3	409378
413.512	0.0	190	3	413512
417.648	0.0	190	3	417648
421.783	0.0	222	4	421783
425.918	0.0	190	3	425918
430.052	0.0	222	4	430052
434.189	0.0	222	4	434189
438.323	0.0	190	3	438323
526.051	0.0	126	2	526051
541.866	0.0	238	5	541866
542.895	0.0	190	3	542895
547.031	0.0	190	3	547031
551.166	0.0	222	4	551166
555.3	0.0	190	3	555300
559.436	0.0	190	3	559436
563.57	0.0	190	3	563570
567.705	0.0	190	3	567705
571.84	0.0	222	4	571840
575.976	0.0	190	3	575976
580.111	0.0	222	4	580111
584.246	0.0	190	3	584246
588.38	0.0	190	3	588380
592.516	0.0	222	4	592516
596.651	0.0	222	4	596651
600.786	0.0	190	3	600786
604.92	0.0	222	4	604920
609.056	0.0	190	3	609056
613.191	0.0	190	3	613191
617.325	0.0	190	3	617325
621.46	0.0	190	3	621460
625.596	0.0	190	3	625596
629.73	0.0	190	3	629730
633.865	0.0	190	3	633865
638.001	0.0	190	3	638001
642.15	0.0	190	3	642150
646.284	0.0	190	3	646284
650.419	0.0	190	3	650419
654.555	0.0	190	3	654555
658.69	0.0	190	3	658690
688.639	0.0	0	1	688639
718.656	0.0	126	2	718656
736.935	0.0	238	5	736935
737.964	0.0	190	3	737964
742.101	0.0	190	3	742101
746.235	0.0	190	3	746235
750.37	0.0	190	3	750370
754.505	0.0	190	3	754505
758.64	0.0	190	3	758640
762.775	0.0	222	4	762775
766.91	0.0	190	3	766910
771.045	0.0	190	3	771045
775.18	0.0	190	3	775180
779.315	0.0	190	3	779315
783.45	0.0	222	4	783450
787.585	0.0	190	3	787585
791.72	0.0	222	4	791720
795.855	0.0	190	3	795855
799.99	0.0	190	3	799990
804.125	0.0	190	3	804125
808.26	0.0	222	4	808260
812.409	0.0	190	3	812409
816.545	0.0	190	3	816545
820.679	0.0	190	3	820679
824.814	0.0	190	3	824814
828.949	0.0	190	3	828949
833.084	0.0	222	4	833084
837.219	0.0	222	4	837219
841.354	0.0	190	3	841354
845.489	0.0	190	3	845489
849.624	0.0	190	3	849624
853.758	0.0	190	3	853758
