onset	duration	trial_type	value	sample
33.171	0.0	126	1	33171
50.03	0.0	238	4	50030
51.06	0.0	190	2	51060
53.19	0.0	222	3	53190
55.32	0.0	222	3	55320
57.45	0.0	190	2	57450
59.581	0.0	190	2	59581
61.711	0.0	222	3	61711
63.841	0.0	190	2	63841
65.971	0.0	190	2	65971
68.101	0.0	190	2	68101
70.231	0.0	190	2	70231
72.361	0.0	222	3	72361
74.492	0.0	222	3	74492
76.622	0.0	190	2	76622
78.752	0.0	190	2	78752
80.882	0.0	190	2	80882
83.012	0.0	190	2	83012
85.142	0.0	190	2	85142
87.272	0.0	190	2	87272
89.402	0.0	190	2	89402
91.532	0.0	190	2	91532
93.663	0.0	190	2	93663
95.793	0.0	190	2	95793
97.923	0.0	190	2	97923
100.053	0.0	190	2	100053
102.183	0.0	190	2	102183
104.314	0.0	190	2	104314
106.444	0.0	190	2	106444
108.574	0.0	190	2	108574
110.704	0.0	190	2	110704
112.834	0.0	190	2	112834
114.964	0.0	190	2	114964
117.094	0.0	190	2	117094
119.225	0.0	190	2	119225
121.355	0.0	190	2	121355
123.485	0.0	190	2	123485
125.615	0.0	190	2	125615
127.745	0.0	222	3	127745
129.876	0.0	190	2	129876
132.005	0.0	222	3	132005
134.135	0.0	190	2	134135
136.266	0.0	222	3	136266
138.396	0.0	190	2	138396
140.526	0.0	222	3	140526
142.656	0.0	190	2	142656
144.787	0.0	190	2	144787
146.917	0.0	190	2	146917
149.047	0.0	190	2	149047
151.177	0.0	222	3	151177
153.307	0.0	222	3	153307
155.437	0.0	190	2	155437
157.567	0.0	190	2	157567
159.697	0.0	190	2	159697
161.828	0.0	190	2	161828
163.958	0.0	190	2	163958
166.088	0.0	190	2	166088
168.218	0.0	190	2	168218
207.731	0.0	126	1	207731
226.456	0.0	238	4	226456
227.485	0.0	222	3	227485
229.615	0.0	190	2	229615
231.746	0.0	190	2	231746
233.875	0.0	190	2	233875
236.006	0.0	190	2	236006
238.136	0.0	190	2	238136
240.266	0.0	190	2	240266
242.396	0.0	190	2	242396
244.527	0.0	190	2	244527
246.656	0.0	190	2	246656
248.787	0.0	222	3	248787
250.917	0.0	222	3	250917
253.047	0.0	190	2	253047
255.177	0.0	190	2	255177
257.307	0.0	190	2	257307
259.437	0.0	190	2	259437
261.571	0.0	190	2	261571
263.697	0.0	190	2	263697
265.828	0.0	190	2	265828
267.958	0.0	222	3	267958
270.088	0.0	190	2	270088
272.218	0.0	222	3	272218
274.348	0.0	190	2	274348
276.478	0.0	190	2	276478
278.61	0.0	190	2	278610
280.738	0.0	190	2	280738
282.869	0.0	190	2	282869
284.999	0.0	190	2	284999
287.13	0.0	222	3	287130
289.259	0.0	190	2	289259
291.39	0.0	190	2	291390
293.52	0.0	222	3	293520
295.65	0.0	190	2	295650
297.78	0.0	222	3	297780
299.91	0.0	222	3	299910
302.04	0.0	190	2	302040
304.171	0.0	190	2	304171
306.3	0.0	222	3	306300
308.431	0.0	190	2	308431
310.561	0.0	222	3	310561
312.692	0.0	190	2	312692
314.821	0.0	222	3	314821
316.952	0.0	222	3	316952
319.081	0.0	222	3	319081
321.212	0.0	190	2	321212
323.341	0.0	190	2	323341
325.472	0.0	190	2	325472
327.602	0.0	190	2	327602
329.733	0.0	190	2	329733
331.862	0.0	222	3	331862
333.992	0.0	190	2	333992
336.122	0.0	190	2	336122
338.253	0.0	190	2	338253
340.383	0.0	190	2	340383
342.526	0.0	190	2	342526
344.658	0.0	222	3	344658
391.369	0.0	126	1	391369
409.593	0.0	238	4	409593
410.622	0.0	222	3	410622
412.753	0.0	190	2	412753
414.884	0.0	190	2	414884
417.014	0.0	190	2	417014
419.144	0.0	190	2	419144
421.274	0.0	190	2	421274
423.404	0.0	190	2	423404
425.535	0.0	190	2	425535
427.665	0.0	190	2	427665
429.795	0.0	190	2	429795
431.925	0.0	222	3	431925
434.055	0.0	190	2	434055
436.185	0.0	190	2	436185
438.315	0.0	222	3	438315
440.446	0.0	190	2	440446
442.576	0.0	222	3	442576
444.706	0.0	190	2	444706
446.836	0.0	222	3	446836
448.966	0.0	222	3	448966
451.096	0.0	190	2	451096
453.226	0.0	222	3	453226
455.356	0.0	190	2	455356
457.487	0.0	190	2	457487
459.617	0.0	190	2	459617
461.747	0.0	190	2	461747
463.877	0.0	190	2	463877
466.007	0.0	222	3	466007
468.137	0.0	222	3	468137
470.268	0.0	222	3	470268
472.398	0.0	222	3	472398
474.528	0.0	190	2	474528
476.658	0.0	190	2	476658
478.788	0.0	222	3	478788
480.918	0.0	190	2	480918
483.048	0.0	222	3	483048
485.178	0.0	222	3	485178
487.309	0.0	190	2	487309
489.439	0.0	222	3	489439
491.569	0.0	190	2	491569
493.699	0.0	190	2	493699
495.829	0.0	190	2	495829
497.959	0.0	190	2	497959
500.089	0.0	190	2	500089
502.22	0.0	190	2	502220
504.35	0.0	190	2	504350
506.48	0.0	190	2	506480
508.61	0.0	190	2	508610
510.741	0.0	190	2	510741
512.87	0.0	190	2	512870
515.001	0.0	190	2	515001
517.131	0.0	190	2	517131
519.261	0.0	222	3	519261
521.391	0.0	222	3	521391
523.521	0.0	222	3	523521
525.651	0.0	222	3	525651
527.782	0.0	222	3	527782
569.118	0.0	126	1	569118
584.905	0.0	238	4	584905
585.935	0.0	222	3	585935
588.065	0.0	190	2	588065
590.195	0.0	190	2	590195
592.325	0.0	190	2	592325
594.456	0.0	190	2	594456
596.586	0.0	190	2	596586
598.716	0.0	190	2	598716
600.846	0.0	190	2	600846
602.976	0.0	190	2	602976
605.106	0.0	190	2	605106
607.237	0.0	190	2	607237
609.367	0.0	190	2	609367
611.497	0.0	222	3	611497
613.627	0.0	190	2	613627
615.757	0.0	190	2	615757
617.887	0.0	190	2	617887
620.017	0.0	190	2	620017
622.148	0.0	190	2	622148
624.278	0.0	190	2	624278
626.408	0.0	190	2	626408
628.538	0.0	190	2	628538
630.668	0.0	222	3	630668
632.798	0.0	190	2	632798
634.929	0.0	222	3	634929
637.059	0.0	190	2	637059
639.188	0.0	190	2	639188
641.319	0.0	190	2	641319
643.449	0.0	190	2	643449
645.58	0.0	190	2	645580
647.71	0.0	190	2	647710
649.839	0.0	190	2	649839
651.97	0.0	222	3	651970
654.1	0.0	190	2	654100
656.23	0.0	222	3	656230
658.374	0.0	222	3	658374
660.504	0.0	190	2	660504
662.634	0.0	190	2	662634
664.764	0.0	190	2	664764
666.895	0.0	190	2	666895
669.024	0.0	190	2	669024
671.155	0.0	190	2	671155
673.284	0.0	190	2	673284
675.415	0.0	222	3	675415
677.545	0.0	222	3	677545
679.675	0.0	190	2	679675
681.805	0.0	190	2	681805
683.936	0.0	190	2	683936
686.066	0.0	190	2	686066
688.196	0.0	190	2	688196
690.326	0.0	190	2	690326
692.457	0.0	190	2	692457
694.586	0.0	190	2	694586
696.717	0.0	222	3	696717
698.846	0.0	190	2	698846
700.977	0.0	190	2	700977
703.107	0.0	222	3	703107
