onset	duration	trial_type	value	sample
34.761	0.0	126	1	34761
53.472	0.0	238	4	53472
54.501	0.0	222	3	54501
58.636	0.0	222	3	58636
62.771	0.0	222	3	62771
66.906	0.0	222	3	66906
71.041	0.0	190	2	71041
75.175	0.0	222	3	75175
79.311	0.0	222	3	79311
83.446	0.0	190	2	83446
87.581	0.0	222	3	87581
91.715	0.0	222	3	91715
95.851	0.0	222	3	95851
99.986	0.0	190	2	99986
104.12	0.0	222	3	104120
108.255	0.0	190	2	108255
112.391	0.0	222	3	112391
116.526	0.0	222	3	116526
120.661	0.0	222	3	120661
124.795	0.0	222	3	124795
128.932	0.0	222	3	128932
133.066	0.0	222	3	133066
137.2	0.0	222	3	137200
141.336	0.0	222	3	141336
145.471	0.0	222	3	145471
149.606	0.0	222	3	149606
153.741	0.0	222	3	153741
157.876	0.0	222	3	157876
162.011	0.0	222	3	162011
166.146	0.0	222	3	166146
170.28	0.0	222	3	170280
207.094	0.0	126	1	207094
223.939	0.0	238	4	223939
224.969	0.0	222	3	224969
229.103	0.0	222	3	229103
233.239	0.0	222	3	233239
237.374	0.0	222	3	237374
241.508	0.0	190	2	241508
245.643	0.0	222	3	245643
249.779	0.0	222	3	249779
253.914	0.0	222	3	253914
258.049	0.0	222	3	258049
262.184	0.0	190	2	262184
266.319	0.0	222	3	266319
270.454	0.0	190	2	270454
274.588	0.0	222	3	274588
278.724	0.0	222	3	278724
282.859	0.0	222	3	282859
286.994	0.0	190	2	286994
291.129	0.0	222	3	291129
295.264	0.0	222	3	295264
299.399	0.0	222	3	299399
303.534	0.0	222	3	303534
307.668	0.0	222	3	307668
311.804	0.0	222	3	311804
315.939	0.0	222	3	315939
320.074	0.0	222	3	320074
324.212	0.0	190	2	324212
328.344	0.0	222	3	328344
332.479	0.0	222	3	332479
336.613	0.0	222	3	336613
340.748	0.0	222	3	340748
401.885	0.0	126	1	401885
417.657	0.0	238	4	417657
418.673	0.0	190	2	418673
422.808	0.0	222	3	422808
426.943	0.0	222	3	426943
431.078	0.0	222	3	431078
435.213	0.0	190	2	435213
439.348	0.0	222	3	439348
443.483	0.0	222	3	443483
447.618	0.0	190	2	447618
451.754	0.0	222	3	451754
455.888	0.0	222	3	455888
460.023	0.0	222	3	460023
464.158	0.0	222	3	464158
468.293	0.0	222	3	468293
472.428	0.0	222	3	472428
476.562	0.0	222	3	476562
480.698	0.0	190	2	480698
484.834	0.0	222	3	484834
488.969	0.0	222	3	488969
493.102	0.0	222	3	493102
497.239	0.0	222	3	497239
501.373	0.0	222	3	501373
505.508	0.0	190	2	505508
509.643	0.0	222	3	509643
513.778	0.0	222	3	513778
517.914	0.0	222	3	517914
522.048	0.0	222	3	522048
526.183	0.0	222	3	526183
530.318	0.0	222	3	530318
534.453	0.0	222	3	534453
637.732	0.0	126	1	637732
655.956	0.0	238	4	655956
656.971	0.0	222	3	656971
661.107	0.0	222	3	661107
665.242	0.0	190	2	665242
669.377	0.0	222	3	669377
673.512	0.0	222	3	673512
677.647	0.0	190	2	677647
681.782	0.0	222	3	681782
685.917	0.0	222	3	685917
690.052	0.0	222	3	690052
694.187	0.0	222	3	694187
698.322	0.0	222	3	698322
702.457	0.0	222	3	702457
706.591	0.0	222	3	706591
710.728	0.0	222	3	710728
714.863	0.0	190	2	714863
718.996	0.0	222	3	718996
723.132	0.0	222	3	723132
727.268	0.0	190	2	727268
731.402	0.0	222	3	731402
735.537	0.0	222	3	735537
739.673	0.0	222	3	739673
743.807	0.0	222	3	743807
747.942	0.0	222	3	747942
752.077	0.0	222	3	752077
756.213	0.0	222	3	756213
760.348	0.0	222	3	760348
764.483	0.0	222	3	764483
768.617	0.0	222	3	768617
772.753	0.0	222	3	772753
